10010	FAIL	(Cookie No HttpOnly Flag)
10017	FAIL	(Cross-Domain JavaScript Source File Inclusion: every script is our own)
10020	FAIL	(Anti-clickjacking Header: X-Frame-Options DENY and frame-ancestors 'none')
10021	FAIL	(X-Content-Type-Options Header Missing)
10037	FAIL	(Server Leaks Information via X-Powered-By: poweredByHeader is off)
10038	FAIL	(Content Security Policy (CSP) Header Not Set: src/proxy.ts sets it on every page)
10054	FAIL	(Cookie without SameSite Attribute)
10063	FAIL	(Permissions Policy Header Not Set)
10098	FAIL	(Cross-Domain Misconfiguration)
10011	IGNORE	(Cookie Without Secure Flag: the scan runs over http on localhost; production is https-only with HSTS)
10035	IGNORE	(Strict-Transport-Security Header Not Set: ignored by browsers over http; asserted in tests/e2e/portal.security.spec.ts)
10202	IGNORE	(Absence of Anti-CSRF Tokens: forms post through server actions and JSON routes that check Origin, with SameSite=Lax cookies)
10027	IGNORE	(Information Disclosure - Suspicious Comments: words like 'debug' inside framework bundles)
10096	IGNORE	(Timestamp Disclosure: numbers inside framework bundles)
10109	IGNORE	(Modern Web Application: informational)
10049	IGNORE	(Storable and Cacheable Content: informational)
